Udate,Close,High,Low,Open,Volume,Field7,LDate,LTime,pCalcIndx
1441288320,146.19,146.26,146.13,146.2,4738,,9/3/2015,42250.36944,42250.36944
1441288380,146.16,146.2599,146.1,146.14,2880,,9/3/2015,42250.37014,42250.37014
1441288440,146.1,146.135,146.1,146.13,2200,,9/3/2015,42250.37083,42250.37083
1441288500,146.19,146.2,146.08,146.1082,2782,,9/3/2015,42250.37153,42250.37153
1441288560,146.14,146.2,146.12,146.192,3629,,9/3/2015,42250.37222,42250.37222
1441288620,146.015,146.11,145.91,146.11,15012,,9/3/2015,42250.37292,42250.37292
1441288680,146.03,146.04,145.97,145.99,3274,,9/3/2015,42250.37361,42250.37361
1441288740,146.07,146.08,146,146.01,3439,,9/3/2015,42250.37431,42250.37431
1441288800,146.09,146.09,145.93,146.02,4300,,9/3/2015,42250.375,42250.375
1441288860,146.211,146.2799,146.11,146.1299,3580,,9/3/2015,42250.37569,42250.37569
1441288920,145.99,146.19,145.98,146.19,9339,,9/3/2015,42250.37639,42250.37639
1441288980,146.01,146.05,145.93,145.98,5634,,9/3/2015,42250.37708,42250.37708
1441289040,146.22,146.22,146,146,7900,,9/3/2015,42250.37778,42250.37778
1441289100,146.2,146.26,146.14,146.229,7545,,9/3/2015,42250.37847,42250.37847
1441289160,146.26,146.26,146.17,146.23,4000,,9/3/2015,42250.37917,42250.37917
1441289220,146.345,146.35,146.22,146.22,11570,,9/3/2015,42250.37986,42250.37986
1441289280,146.23,146.34,146.23,146.32,2450,,9/3/2015,42250.38056,42250.38056
1441289340,146.46,146.46,146.3,146.3,8129,,9/3/2015,42250.38125,42250.38125
1441289400,146.47,146.47,146.38,146.43,5443,,9/3/2015,42250.38194,42250.38194
1441289460,146.44,146.48,146.38,146.4702,4342,,9/3/2015,42250.38264,42250.38264
1441289520,146.46,146.5399,146.41,146.4101,7180,,9/3/2015,42250.38333,42250.38333
1441289580,146.37,146.49,146.37,146.46,11951,,9/3/2015,42250.38403,42250.38403
1441289640,146.5175,146.55,146.37,146.37,4741,,9/3/2015,42250.38472,42250.38472
1441289700,146.5882,146.6,146.49,146.53,5565,,9/3/2015,42250.38542,42250.38542
1441289760,146.62,146.69,146.62,146.62,8900,,9/3/2015,42250.38611,42250.38611
1441289820,146.67,146.78,146.601,146.61,9161,,9/3/2015,42250.38681,42250.38681
1441289880,146.65,146.75,146.64,146.6875,3300,,9/3/2015,42250.3875,42250.3875
1441289940,146.75,146.75,146.6201,146.6201,3446,,9/3/2015,42250.38819,42250.38819
1441290000,146.88,146.89,146.75,146.75,12415,,9/3/2015,42250.38889,42250.38889
1441290060,146.83,146.93,146.8,146.85,9371,,9/3/2015,42250.38958,42250.38958
1441290120,146.85,146.85,146.7896,146.83,3356,,9/3/2015,42250.39028,42250.39028
1441290180,146.97,146.98,146.85,146.88,5299,,9/3/2015,42250.39097,42250.39097
1441290240,147.07,147.07,146.92,146.93,2603,,9/3/2015,42250.39167,42250.39167
1441290300,147.02,147.14,147.02,147.079,18031,,9/3/2015,42250.39236,42250.39236
1441290360,147.16,147.16,147.05,147.08,6170,,9/3/2015,42250.39306,42250.39306
1441290420,147.13,147.18,147.08,147.12,9543,,9/3/2015,42250.39375,42250.39375
1441290480,147.21,147.23,147.09,147.12,8613,,9/3/2015,42250.39444,42250.39444
1441290540,147.17,147.2599,147.14,147.25,8179,,9/3/2015,42250.39514,42250.39514
1441290600,147.09,147.19,147.09,147.19,2600,,9/3/2015,42250.39583,42250.39583
1441290660,147.12,147.24,147.1,147.1,32963,,9/3/2015,42250.39653,42250.39653
1441290720,147.08,147.12,147.07,147.1,3822,,9/3/2015,42250.39722,42250.39722
1441290780,147.1,147.1272,147.06,147.08,3419,,9/3/2015,42250.39792,42250.39792
1441290840,147.07,147.15,147.06,147.09,7240,,9/3/2015,42250.39861,42250.39861
1441290900,147.1,147.1143,147.04,147.07,5180,,9/3/2015,42250.39931,42250.39931
1441290960,147.115,147.13,147.05,147.08,10700,,9/3/2015,42250.4,42250.4
1441291020,147.11,147.14,147.08,147.09,4650,,9/3/2015,42250.40069,42250.40069
1441291080,147.06,147.12,147.05,147.1,3300,,9/3/2015,42250.40139,42250.40139
1441291140,146.99,147.06,146.94,147.06,19975,,9/3/2015,42250.40208,42250.40208
1441291200,146.94,147.01,146.94,146.951,7795,,9/3/2015,42250.40278,42250.40278
1441291260,147.0266,147.03,146.97,147,6120,,9/3/2015,42250.40347,42250.40347
1441291320,147.03,147.05,146.99,147.01,1955,,9/3/2015,42250.40417,42250.40417
1441291380,146.98,147.02,146.965,147.02,5634,,9/3/2015,42250.40486,42250.40486
1441291440,147.03,147.04,146.94,147,4653,,9/3/2015,42250.40556,42250.40556
1441291500,147.07,147.1,147,147.02,16528,,9/3/2015,42250.40625,42250.40625
1441291560,147.04,147.07,147.02,147.0486,3200,,9/3/2015,42250.40694,42250.40694
1441291620,147.05,147.14,147.05,147.05,9806,,9/3/2015,42250.40764,42250.40764
1441291680,147.13,147.17,147.0601,147.08,4600,,9/3/2015,42250.40833,42250.40833
1441291740,147.18,147.2,147.11,147.11,4795,,9/3/2015,42250.40903,42250.40903
1441291800,147.1651,147.2,147.16,147.17,9612,,9/3/2015,42250.40972,42250.40972
1441291860,147.36,147.36,147.15,147.15,7597,,9/3/2015,42250.41042,42250.41042
1441291920,147.6,147.62,147.35,147.37,21281,,9/3/2015,42250.41111,42250.41111
1441291980,147.56,147.69,147.53,147.58,18132,,9/3/2015,42250.41181,42250.41181
1441292040,147.59,147.59,147.49,147.54,8092,,9/3/2015,42250.4125,42250.4125
1441292100,147.6099,147.61,147.56,147.585,4049,,9/3/2015,42250.41319,42250.41319
1441292160,147.64,147.68,147.56,147.57,3412,,9/3/2015,42250.41389,42250.41389
1441292220,147.66,147.6699,147.52,147.6699,10495,,9/3/2015,42250.41458,42250.41458
1441292280,147.7,147.74,147.6,147.66,18304,,9/3/2015,42250.41528,42250.41528
1441292340,147.81,147.81,147.69,147.73,24998,,9/3/2015,42250.41597,42250.41597
1441292400,147.74,147.83,147.74,147.82,6683,,9/3/2015,42250.41667,42250.41667
1441292460,147.69,147.83,147.66,147.78,9150,,9/3/2015,42250.41736,42250.41736
1441292520,147.79,147.79,147.65,147.66,28706,,9/3/2015,42250.41806,42250.41806
1441292580,147.79,147.86,147.78,147.79,16162,,9/3/2015,42250.41875,42250.41875
1441292640,147.84,147.85,147.78,147.78,9006,,9/3/2015,42250.41944,42250.41944
1441292700,147.83,147.85,147.76,147.84,7580,,9/3/2015,42250.42014,42250.42014
1441292760,148,148,147.81,147.81,16114,,9/3/2015,42250.42083,42250.42083
1441292820,147.81,148.03,147.8,148.03,13795,,9/3/2015,42250.42153,42250.42153
1441292880,147.81,147.85,147.78,147.8,3477,,9/3/2015,42250.42222,42250.42222
1441292940,147.77,147.81,147.7,147.79,10700,,9/3/2015,42250.42292,42250.42292
1441293000,147.8,147.9,147.755,147.77,27782,,9/3/2015,42250.42361,42250.42361
1441293060,147.73,147.83,147.67,147.83,9837,,9/3/2015,42250.42431,42250.42431
1441293120,147.62,147.78,147.62,147.73,36500,,9/3/2015,42250.425,42250.425
1441293180,147.62,147.67,147.6,147.61,11276,,9/3/2015,42250.42569,42250.42569
1441293240,147.575,147.66,147.57,147.66,5330,,9/3/2015,42250.42639,42250.42639
1441293300,147.45,147.58,147.404,147.56,11398,,9/3/2015,42250.42708,42250.42708
1441293360,147.35,147.46,147.32,147.46,3716,,9/3/2015,42250.42778,42250.42778
1441293420,147.33,147.4,147.31,147.37,4012,,9/3/2015,42250.42847,42250.42847
1441293480,147.4,147.4,147.32,147.33,1790,,9/3/2015,42250.42917,42250.42917
1441293540,147.39,147.42,147.33,147.4,4194,,9/3/2015,42250.42986,42250.42986
1441293600,147.47,147.48,147.37,147.39,12507,,9/3/2015,42250.43056,42250.43056
1441293660,147.4139,147.49,147.38,147.49,3818,,9/3/2015,42250.43125,42250.43125
1441293720,147.48,147.49,147.4,147.44,3562,,9/3/2015,42250.43194,42250.43194
1441293780,147.49,147.53,147.41,147.5,6727,,9/3/2015,42250.43264,42250.43264
1441293840,147.53,147.53,147.49,147.5,2600,,9/3/2015,42250.43333,42250.43333
1441293900,147.43,147.5056,147.4,147.5056,6291,,9/3/2015,42250.43403,42250.43403
1441293960,147.46,147.47,147.43,147.45,6386,,9/3/2015,42250.43472,42250.43472
1441294020,147.48,147.4925,147.44,147.45,3500,,9/3/2015,42250.43542,42250.43542
1441294080,147.44,147.53,147.44,147.49,3149,,9/3/2015,42250.43611,42250.43611
1441294140,147.47,147.48,147.42,147.47,2650,,9/3/2015,42250.43681,42250.43681
1441294200,147.47,147.47,147.4,147.47,7110,,9/3/2015,42250.4375,42250.4375
1441294260,147.31,147.46,147.31,147.4401,8921,,9/3/2015,42250.43819,42250.43819
1441294320,147.4,147.41,147.3,147.35,4500,,9/3/2015,42250.43889,42250.43889
1441294380,147.34,147.43,147.33,147.4,3340,,9/3/2015,42250.43958,42250.43958
1441294440,147.35,147.36,147.31,147.35,4700,,9/3/2015,42250.44028,42250.44028
1441294500,147.308,147.32,147.26,147.32,7300,,9/3/2015,42250.44097,42250.44097
1441294560,147.35,147.3899,147.32,147.32,6798,,9/3/2015,42250.44167,42250.44167
1441294620,147.25,147.35,147.25,147.32,13457,,9/3/2015,42250.44236,42250.44236
1441294680,147.32,147.32,147.25,147.25,4949,,9/3/2015,42250.44306,42250.44306
1441294740,147.36,147.37,147.274,147.285,8864,,9/3/2015,42250.44375,42250.44375
1441294800,147.32,147.37,147.27,147.37,10137,,9/3/2015,42250.44444,42250.44444
1441294860,147.3359,147.38,147.3359,147.35,5350,,9/3/2015,42250.44514,42250.44514
1441294920,147.37,147.43,147.36,147.36,3800,,9/3/2015,42250.44583,42250.44583
1441294980,147.369,147.38,147.33,147.3501,5150,,9/3/2015,42250.44653,42250.44653
1441295040,147.38,147.39,147.32,147.37,7044,,9/3/2015,42250.44722,42250.44722
1441295100,147.42,147.45,147.37,147.39,5200,,9/3/2015,42250.44792,42250.44792
1441295160,147.37,147.41,147.32,147.41,17786,,9/3/2015,42250.44861,42250.44861
1441295220,147.4,147.4,147.355,147.36,3790,,9/3/2015,42250.44931,42250.44931
1441295280,147.4,147.4,147.32,147.37,7900,,9/3/2015,42250.45,42250.45
1441295340,147.38,147.44,147.32,147.4,7177,,9/3/2015,42250.45069,42250.45069
1441295400,147.37,147.4,147.33,147.38,8200,,9/3/2015,42250.45139,42250.45139
1441295460,147.35,147.39,147.32,147.365,21100,,9/3/2015,42250.45208,42250.45208
1441295520,147.27,147.35,147.25,147.34,7400,,9/3/2015,42250.45278,42250.45278
1441295580,147.35,147.35,147.25,147.25,19208,,9/3/2015,42250.45347,42250.45347
1441295640,147.33,147.3599,147.32,147.32,3525,,9/3/2015,42250.45417,42250.45417
1441295700,147.3817,147.39,147.27,147.34,10006,,9/3/2015,42250.45486,42250.45486
1441295760,147.34,147.38,147.34,147.37,1609,,9/3/2015,42250.45556,42250.45556
1441295820,147.36,147.38,147.34,147.34,3316,,9/3/2015,42250.45625,42250.45625
1441295880,147.4241,147.43,147.36,147.39,4429,,9/3/2015,42250.45694,42250.45694
1441295940,147.42,147.42,147.38,147.4,3935,,9/3/2015,42250.45764,42250.45764
1441296000,147.41,147.42,147.374,147.42,1446,,9/3/2015,42250.45833,42250.45833
